Date,Price,Open,High,Low,Vol.,Change %
04-06-2023,"28,355.35","29,459.15","29,533.40","28,322.15",97.08M,-3.32%
11-06-2023,"28,588.80","28,457.45","28,974.15","28,402.55",124.86M,0.82%
18-06-2023,"28,554.30","28,641.45","29,084.45","28,482.15",87.78M,-0.12%
25-06-2023,"29,563.00","28,539.80","29,594.20","28,451.15",67.81M,3.53%
02-07-2023,"29,560.45","29,648.40","29,937.75","29,334.40",96.83M,-0.01%
09-07-2023,"30,945.50","29,609.85","31,017.55","29,020.20",153.75M,4.69%
16-07-2023,"29,871.05","31,007.60","31,658.10","29,701.20",216.89M,-3.47%
23-07-2023,"29,490.25","29,993.85","30,112.90","29,339.35",111.33M,-1.27%
30-07-2023,"30,436.10","29,605.50","30,555.80","29,452.35",102.28M,3.21%
06-08-2023,"30,819.15","30,582.45","31,164.30","30,451.35",94.53M,1.26%
13-08-2023,"30,604.05","30,755.80","31,304.75","30,515.00",71.34M,-0.70%
20-08-2023,"30,914.55","30,626.25","31,212.45","30,597.05",89.20M,1.01%
27-08-2023,"31,514.35","30,975.35","31,550.95","30,745.00",83.96M,1.94%
03-09-2023,"32,415.65","31,552.50","32,561.25","31,454.50",104.69M,2.86%
10-09-2023,"33,355.05","32,531.00","33,402.75","32,429.50",110.57M,2.90%
17-09-2023,"32,906.30","33,255.10","33,266.90","32,504.75",74.45M,-1.35%
24-09-2023,"31,784.40","32,881.35","32,960.95","31,514.90",89.23M,-3.41%
01-10-2023,"32,341.70","31,772.75","32,438.40","31,412.50",65.61M,1.75%
08-10-2023,"31,807.95","32,216.15","32,981.90","31,434.10",122.66M,-1.65%
15-10-2023,"31,469.35","31,831.05","31,949.75","31,345.55",92.38M,-1.06%
22-10-2023,"30,599.70","31,358.45","31,456.10","30,054.20",73.33M,-2.76%
29-10-2023,"30,779.95","30,627.90","30,924.85","30,283.15",58.36M,0.59%
05-11-2023,"30,639.05","30,955.35","31,128.90","30,504.10",63.07M,-0.46%
12-11-2023,"32,191.35","30,852.15","32,453.65","30,572.95",78.66M,5.07%
19-11-2023,"32,055.15","32,202.30","32,688.00","32,010.00",64.80M,-0.42%
26-11-2023,"32,598.70","32,115.85","32,729.80","31,807.85",86.02M,1.70%
03-12-2023,"33,392.90","32,888.20","33,452.40","32,252.45",103.62M,2.44%
10-12-2023,"35,782.45","33,424.00","35,947.60","32,715.65",171.09M,7.16%
17-12-2023,"35,637.80","35,707.30","36,132.00","34,394.55",139.72M,-0.40%
24-12-2023,"35,515.00","35,421.15","35,850.40","35,185.45",102.66M,-0.34%
31-12-2023,"34,851.75","35,496.40","35,890.75","34,236.60",112.43M,-1.87%
07-01-2024,"36,521.70","34,876.65","36,581.10","34,419.75",139.11M,4.79%
14-01-2024,"37,069.25","37,538.45","37,929.30","36,136.40",222.27M,1.50%
21-01-2024,"36,496.20","37,259.80","37,383.45","36,354.10",96.20M,-1.55%
28-01-2024,"37,323.25","36,553.80","37,663.95","36,228.85",108.53M,2.27%
04-02-2024,"37,699.25","37,441.00","38,373.45","37,097.95",107.02M,1.01%
11-02-2024,"38,477.05","37,770.00","38,516.55","37,200.05",130.39M,2.06%
18-02-2024,"38,045.65","38,526.95","38,559.85","37,302.60",99.16M,-1.12%
25-02-2024,"37,516.05","37,991.90","38,138.35","37,384.90",92.40M,-1.39%
03-03-2024,"37,099.90","37,695.35","37,744.90","36,134.00",74.36M,-1.11%
10-03-2024,"37,500.70","37,082.00","37,723.35","36,607.65",119.68M,1.08%
17-03-2024,"35,188.40","37,458.85","37,522.85","34,701.75",130.43M,-6.17%
24-03-2024,"34,898.15","35,003.10","35,400.15","34,693.60",86.53M,-0.82%
31-03-2024,"35,247.90","35,224.00","35,649.60","34,626.20",107.19M,1.00%
07-04-2024,"35,018.10","35,381.00","35,568.80","34,952.25",102.46M,-0.65%
14-04-2024,"33,368.30","34,845.80","35,188.15","32,915.50",154.10M,-4.71%
21-04-2024,"33,666.25","33,488.75","34,307.45","33,283.45",137.83M,0.89%
28-04-2024,"32,908.40","33,640.75","33,792.85","32,690.50",115.22M,-2.25%
05-05-2024,"32,935.15","33,041.20","33,525.50","32,786.55",105.72M,0.08%
12-05-2024,"33,381.85","32,910.65","33,766.70","32,669.25",92.47M,1.36%
19-05-2024,"33,824.30","33,446.25","34,098.05","33,191.75",82.26M,1.33%
26-05-2024,"32,386.10","33,914.45","34,227.05","32,280.80",186.44M,-4.25%
02-06-2024,"35,169.90","33,114.70","35,248.10","31,320.15",208.35M,8.60%
09-06-2024,"34,598.55","35,140.45","35,167.75","34,360.65",154.19M,-1.62%
16-06-2024,"35,200.30","34,696.00","35,875.30","34,604.05",165.29M,1.74%
23-06-2024,"36,157.50","35,067.75","36,334.65","34,918.15",136.26M,2.72%
30-06-2024,"37,720.75","36,103.00","37,935.10","36,085.45",152.91M,4.32%
07-07-2024,"39,023.00","37,766.00","39,237.70","37,108.35",160.85M,3.45%
14-07-2024,"39,923.30","39,432.10","40,682.70","38,730.55",162.90M,2.31%
21-07-2024,"40,977.35","39,664.85","41,073.65","39,081.30",179.83M,2.64%
28-07-2024,"39,730.30","41,220.75","41,381.10","39,662.65",94.73M,-3.04%
04-08-2024,"39,043.30","38,822.55","39,427.10","37,829.10",106.01M,-1.73%
11-08-2024,"40,878.25","39,038.95","40,927.15","38,747.85",83.85M,4.70%
18-08-2024,"41,089.85","40,940.90","41,834.00","40,736.55",79.52M,0.52%
25-08-2024,"42,787.80","41,343.45","42,913.95","41,319.05",143.32M,4.13%
