Date,Price,Open,High,Low,Vol.,Change %
04-06-2023,"12,814.80","12,762.05","12,949.60","12,689.25",,0.86%
11-06-2023,"13,192.90","12,855.10","13,212.35","12,798.85",,2.95%
18-06-2023,"13,077.50","13,246.50","13,402.25","13,063.50",,-0.87%
25-06-2023,"13,401.45","13,082.20","13,411.95","13,033.05",,2.48%
02-07-2023,"13,490.70","13,472.75","13,609.90","13,387.00",,0.67%
09-07-2023,"13,657.45","13,530.30","13,669.05","13,410.45",,1.24%
16-07-2023,"13,772.85","13,701.85","13,812.25","13,627.70",,0.84%
23-07-2023,"13,976.00","13,805.85","13,985.05","13,746.50",,1.48%
30-07-2023,"14,079.30","14,000.65","14,200.00","13,857.85",,0.74%
06-08-2023,"14,190.30","14,120.25","14,297.10","14,080.95",,0.79%
13-08-2023,"14,193.45","14,181.00","14,258.05","13,985.30",,0.02%
20-08-2023,"14,440.65","14,227.90","14,633.05","14,205.95",,1.74%
27-08-2023,"14,810.15","14,492.75","14,820.25","14,456.90",,2.56%
03-09-2023,"15,341.05","14,880.40","15,351.15","14,810.15",,3.58%
10-09-2023,"15,222.70","15,431.50","15,599.05","14,836.15",,-0.77%
17-09-2023,"14,975.50","15,251.10","15,252.40","14,892.85",,-1.62%
24-09-2023,"15,141.05","15,002.65","15,205.35","14,891.10",,1.11%
01-10-2023,"15,063.50","15,156.80","15,194.90","14,888.25",,-0.51%
08-10-2023,"15,141.35","14,926.30","15,205.25","14,832.75",,0.52%
15-10-2023,"14,963.10","15,166.20","15,274.10","14,923.95",,-1.18%
22-10-2023,"14,513.70","14,972.95","14,999.80","14,133.30",,-3.00%
29-10-2023,"14,819.10","14,547.65","14,841.25","14,403.00",,2.10%
05-11-2023,"15,199.15","14,917.00","15,212.90","14,887.90",,2.56%
12-11-2023,"15,586.10","15,322.40","15,601.75","15,223.15",,2.55%
19-11-2023,"15,673.50","15,628.40","15,708.30","15,511.00",,0.56%
26-11-2023,"16,104.80","15,733.90","16,127.95","15,680.75",,2.75%
03-12-2023,"16,447.95","16,362.00","16,560.65","16,214.40",,2.13%
10-12-2023,"16,850.05","16,502.20","16,916.50","16,410.20",,2.44%
17-12-2023,"16,693.00","16,874.50","16,982.85","16,066.85",,-0.93%
24-12-2023,"17,077.05","16,761.80","17,102.40","16,712.05",,2.30%
31-12-2023,"17,499.65","17,135.00","17,575.65","16,961.25",,2.47%
07-01-2024,"17,563.85","17,550.85","17,589.55","17,251.65",,0.37%
14-01-2024,"17,670.85","17,659.55","17,738.25","16,978.05",,0.61%
21-01-2024,"17,413.75","17,799.10","17,868.00","17,033.40",,-1.45%
28-01-2024,"17,873.35","17,490.35","17,976.70","17,459.20",,2.64%
04-02-2024,"18,003.10","17,940.15","18,345.10","17,715.35",,0.73%
11-02-2024,"18,081.70","18,090.40","18,111.00","17,293.60",,0.44%
18-02-2024,"18,149.05","18,193.75","18,234.10","17,782.10",,0.37%
25-02-2024,"17,974.65","18,168.45","18,196.20","17,559.90",,-0.96%
03-03-2024,"17,995.70","18,049.65","18,156.00","17,700.20",,0.12%
10-03-2024,"17,254.20","18,079.10","18,081.05","16,717.95",,-4.12%
17-03-2024,"17,502.80","17,250.20","17,518.05","16,832.70",,1.44%
24-03-2024,"17,766.00","17,459.70","17,814.25","17,457.55",,1.50%
31-03-2024,"18,473.25","17,902.85","18,523.65","17,882.90",,3.98%
07-04-2024,"18,534.70","18,593.85","18,722.05","18,411.40",,0.33%
14-04-2024,"18,111.25","18,206.05","18,445.05","17,833.55",,-2.28%
21-04-2024,"18,782.50","18,265.75","18,812.40","18,205.05",,3.71%
28-04-2024,"18,907.70","18,836.25","19,064.05","18,754.35",,0.67%
05-05-2024,"18,423.30","19,023.65","19,025.25","18,081.10",,-2.56%
12-05-2024,"19,249.20","18,435.80","19,257.70","18,100.95",,4.48%
19-05-2024,"19,553.15","19,340.50","19,667.65","19,224.70",,1.58%
26-05-2024,"19,308.75","19,642.00","19,717.40","19,123.10",,-1.25%
02-06-2024,"19,884.25","20,033.15","20,033.15","17,744.85",,2.98%
09-06-2024,"20,698.25","19,992.00","20,710.20","19,871.70",,4.09%
16-06-2024,"20,735.25","20,784.40","20,890.70","20,504.05",,0.18%
23-06-2024,"20,831.95","20,700.20","20,922.90","20,550.00",,0.47%
30-06-2024,"21,352.50","20,898.35","21,369.05","20,792.65",,2.50%
07-07-2024,"21,300.25","21,428.25","21,453.80","20,855.40",,-0.24%
14-07-2024,"20,812.25","21,395.15","21,554.45","20,770.05",,-2.29%
21-07-2024,"21,442.40","20,740.80","21,463.05","20,264.90",,3.03%
28-07-2024,"21,492.25","21,606.50","21,969.40","21,387.25",,0.23%
04-08-2024,"21,151.35","20,917.25","21,233.65","20,555.95",,-1.59%
11-08-2024,"21,298.35","21,089.75","21,318.35","20,842.20",,0.69%
18-08-2024,"21,645.65","21,413.35","21,809.10","21,302.50",,1.63%
25-08-2024,"21,925.45","21,746.75","21,956.35","21,618.05",,1.29%
