Date,Price,Open,High,Low,Vol.,Change %
04-06-2023,"4,035.30","4,109.70","4,126.35","4,026.50",491.20M,-1.41%
11-06-2023,"4,041.55","4,045.10","4,082.20","3,976.65",509.62M,0.15%
18-06-2023,"3,992.25","4,046.05","4,128.45","3,980.30",728.36M,-1.22%
25-06-2023,"4,110.20","3,996.55","4,114.95","3,962.30",466.97M,2.95%
02-07-2023,"4,459.10","4,131.95","4,486.15","4,126.35",1.75B,8.49%
09-07-2023,"4,390.30","4,478.55","4,522.40","4,331.60",1.09B,-1.54%
16-07-2023,"4,564.25","4,403.90","4,611.40","4,383.55",1.51B,3.96%
23-07-2023,"4,605.85","4,585.30","4,647.95","4,483.85",1.13B,0.91%
30-07-2023,"4,419.10","4,621.20","4,643.95","4,403.30",987.29M,-4.05%
06-08-2023,"4,555.75","4,421.60","4,613.40","4,385.15",1.55B,3.09%
13-08-2023,"4,603.85","4,555.65","4,642.20","4,437.15",1.35B,1.06%
20-08-2023,"4,530.90","4,613.55","4,679.20","4,502.25",1.09B,-1.58%
27-08-2023,"4,538.70","4,552.45","4,588.10","4,449.60",934.20M,0.17%
03-09-2023,"4,706.40","4,564.00","4,748.10","4,538.70",1.38B,3.69%
10-09-2023,"5,046.25","4,734.05","5,090.10","4,697.75",2.92B,7.22%
17-09-2023,"5,215.05","5,047.55","5,292.10","5,014.55",4.40B,3.35%
24-09-2023,"5,258.30","5,245.20","5,321.10","5,159.05",2.47B,0.83%
01-10-2023,"5,218.25","5,250.40","5,396.85","5,160.95",2.06B,-0.76%
08-10-2023,"5,048.95","5,142.40","5,198.85","5,031.70",1.24B,-3.24%
15-10-2023,"4,950.20","5,043.10","5,145.20","4,930.10",1.08B,-1.96%
22-10-2023,"4,920.55","4,956.25","4,977.50","4,641.00",1.71B,-0.60%
29-10-2023,"5,055.35","4,941.45","5,082.45","4,872.70",1.09B,2.74%
05-11-2023,"5,025.50","5,071.45","5,077.65","4,979.15",752.74M,-0.59%
12-11-2023,"5,064.95","5,065.15","5,257.50","5,009.85",968.97M,0.79%
19-11-2023,"4,977.20","5,077.70","5,118.25","4,972.65",490.58M,-1.73%
26-11-2023,"5,134.55","4,990.45","5,182.90","4,972.75",693.76M,3.16%
03-12-2023,"5,479.45","5,269.10","5,529.85","5,262.00",1.59B,6.72%
10-12-2023,"5,762.60","5,495.95","5,772.95","5,494.10",1.39B,5.17%
17-12-2023,"5,584.95","5,757.00","5,811.10","5,413.80",1.53B,-3.08%
24-12-2023,"5,713.45","5,604.70","5,798.85","5,571.60",920.16M,2.30%
31-12-2023,"5,838.45","5,733.50","5,908.90","5,684.75",1.14B,2.19%
07-01-2024,"5,860.80","5,825.55","5,884.25","5,616.80",995.54M,0.38%
14-01-2024,"5,945.10","5,904.50","6,007.45","5,710.70",1.84B,1.44%
21-01-2024,"5,929.70","5,972.65","6,123.25","5,719.35",1.46B,-0.26%
28-01-2024,"6,609.75","5,990.60","6,699.35","5,972.85",2.90B,11.47%
04-02-2024,"6,944.95","6,622.05","7,035.40","6,468.40",4.27B,5.07%
11-02-2024,"7,135.00","6,981.65","7,281.75","6,527.20",2.04B,2.74%
18-02-2024,"7,076.05","7,165.35","7,253.05","7,035.85",1.16B,-0.83%
25-02-2024,"7,080.75","7,063.90","7,110.40","6,759.10",1.47B,0.07%
03-03-2024,"7,341.25","7,101.80","7,409.00","7,086.60",1.18B,3.68%
10-03-2024,"6,761.00","7,369.15","7,418.75","6,574.40",1.35B,-7.90%
17-03-2024,"6,888.50","6,753.40","6,909.95","6,561.40",779.64M,1.89%
24-03-2024,"7,007.25","6,873.95","7,059.45","6,807.15",557.63M,1.72%
31-03-2024,"7,306.35","7,049.70","7,375.40","7,040.35",1.17B,4.27%
07-04-2024,"7,198.70","7,325.65","7,337.10","7,137.40",589.81M,-1.47%
14-04-2024,"6,933.25","7,078.55","7,152.30","6,768.75",611.59M,-3.69%
21-04-2024,"7,380.05","7,007.10","7,470.65","7,000.95",992.52M,6.44%
28-04-2024,"7,528.70","7,432.15","7,685.95","7,364.80",1.09B,2.01%
05-05-2024,"7,074.35","7,565.35","7,567.05","7,017.00",1.28B,-6.03%
12-05-2024,"7,109.25","7,065.80","7,207.80","6,838.20",959.07M,0.49%
19-05-2024,"7,359.05","7,143.85","7,433.85","7,126.20",907.54M,3.51%
26-05-2024,"7,386.00","7,387.55","7,520.70","7,225.60",1.77B,0.37%
02-06-2024,"7,281.90","7,756.35","8,053.30","6,443.85",2.81B,-1.41%
09-06-2024,"7,464.15","7,332.20","7,496.70","7,312.00",973.44M,2.50%
16-06-2024,"7,384.25","7,493.65","7,569.25","7,346.50",774.64M,-1.07%
23-06-2024,"7,365.95","7,332.60","7,508.75","7,246.45",1.04B,-0.25%
30-06-2024,"7,356.75","7,370.65","7,376.60","7,157.80",707.95M,-0.12%
07-07-2024,"7,203.00","7,326.80","7,396.05","7,154.95",858.96M,-2.09%
14-07-2024,"7,302.60","7,233.30","7,498.80","7,209.35",1.21B,1.38%
21-07-2024,"7,270.65","7,265.40","7,380.70","7,039.20",984.34M,-0.44%
28-07-2024,"7,197.50","7,370.85","7,542.55","7,154.75",1.05B,-1.01%
04-08-2024,"6,994.45","7,037.15","7,057.50","6,795.15",886.63M,-2.82%
11-08-2024,"6,843.80","6,961.20","6,982.55","6,754.90",449.48M,-2.15%
18-08-2024,"7,017.70","6,882.00","7,082.90","6,877.35",517.39M,2.54%
25-08-2024,"6,985.80","7,045.45","7,053.50","6,910.65",455.42M,-0.45%
