Date,Price,Open,High,Low,Vol.,Change %
04-06-2023,"12,861.05","12,958.50","13,087.60","12,849.85",82.73M,-0.31%
11-06-2023,"13,241.95","12,850.45","13,278.50","12,796.05",108.67M,2.96%
18-06-2023,"13,186.30","13,272.90","13,347.55","13,077.45",89.71M,-0.42%
25-06-2023,"13,767.50","13,193.70","13,805.05","13,176.20",118.26M,4.41%
02-07-2023,"13,769.00","13,796.55","13,917.55","13,578.35",109.75M,0.01%
09-07-2023,"13,945.65","13,811.15","13,980.05","13,705.35",93.83M,1.28%
16-07-2023,"14,274.00","13,979.40","14,363.90","13,926.80",93.68M,2.35%
23-07-2023,"14,962.55","14,261.25","15,105.65","14,236.20",146.97M,4.82%
30-07-2023,"15,241.00","14,935.60","15,302.25","14,831.90",142.64M,1.86%
06-08-2023,"15,355.50","15,276.05","15,750.50","15,214.85",194.00M,0.75%
13-08-2023,"15,271.50","15,349.80","15,450.60","15,192.25",83.14M,-0.55%
20-08-2023,"15,025.20","15,262.55","15,378.20","15,000.05",71.53M,-1.61%
27-08-2023,"15,011.80","15,052.80","15,256.55","14,991.60",83.18M,-0.09%
03-09-2023,"15,250.55","15,063.30","15,426.00","15,007.00",92.14M,1.59%
10-09-2023,"15,583.55","15,265.35","15,601.05","15,248.15",130.09M,2.18%
17-09-2023,"15,069.10","15,593.80","15,667.45","14,980.45",79.14M,-3.30%
24-09-2023,"15,422.75","15,049.40","15,513.65","14,964.40",109.16M,2.35%
01-10-2023,"15,128.45","15,425.65","15,441.05","14,985.00",61.45M,-1.91%
08-10-2023,"15,235.05","15,002.70","15,269.65","14,993.05",67.68M,0.70%
15-10-2023,"15,107.15","15,230.00","15,394.15","15,070.05",95.74M,-0.84%
22-10-2023,"14,738.50","15,060.70","15,218.00","14,544.25",86.16M,-2.44%
29-10-2023,"14,882.35","14,786.65","14,960.05","14,629.20",79.81M,0.98%
05-11-2023,"15,516.50","14,934.45","15,574.95","14,929.85",106.09M,4.26%
12-11-2023,"15,804.50","15,576.45","15,821.25","15,430.40",83.44M,1.86%
19-11-2023,"15,954.50","15,809.45","16,175.25","15,782.95",104.36M,0.95%
26-11-2023,"16,257.05","15,980.80","16,385.35","15,884.35",85.55M,1.90%
03-12-2023,"16,163.15","16,372.05","16,389.10","16,079.30",87.56M,-0.58%
10-12-2023,"16,179.80","16,077.90","16,258.30","15,909.55",99.85M,0.10%
17-12-2023,"16,394.35","16,196.40","16,500.90","15,868.15",123.94M,1.33%
24-12-2023,"16,831.80","16,418.60","16,909.10","16,385.70",89.04M,2.67%
31-12-2023,"17,358.60","16,859.50","17,529.85","16,819.00",167.38M,3.13%
07-01-2024,"17,347.45","17,435.80","17,476.00","17,162.00",81.78M,-0.06%
14-01-2024,"17,388.00","17,423.25","17,603.85","16,818.70",109.00M,0.23%
21-01-2024,"17,532.55","17,454.30","17,796.00","17,212.75",104.09M,0.83%
28-01-2024,"17,972.10","17,511.35","18,084.70","17,432.45",116.27M,2.51%
04-02-2024,"18,617.10","18,034.20","18,729.65","17,979.55",175.57M,3.59%
11-02-2024,"18,870.80","18,685.65","18,958.85","18,398.30",166.38M,1.36%
18-02-2024,"19,048.40","18,938.70","19,134.80","18,755.65",134.52M,0.94%
25-02-2024,"18,822.30","19,065.05","19,119.30","18,761.25",114.91M,-1.19%
03-03-2024,"19,194.10","18,946.60","19,277.70","18,811.30",101.53M,1.98%
10-03-2024,"18,718.45","19,313.20","19,397.25","18,495.00",110.57M,-2.48%
17-03-2024,"18,815.60","18,713.40","18,881.25","18,189.95",92.57M,0.52%
24-03-2024,"18,996.15","18,690.10","19,082.05","18,684.80",71.01M,0.96%
31-03-2024,"19,160.75","19,147.50","19,395.55","18,952.65",95.15M,0.87%
07-04-2024,"18,788.65","19,246.50","19,288.45","18,765.80",117.85M,-1.94%
14-04-2024,"18,404.60","18,613.75","18,815.60","18,298.25",87.84M,-2.04%
21-04-2024,"18,994.65","18,512.45","19,056.70","18,444.90",185.62M,3.21%
28-04-2024,"19,133.40","19,096.70","19,267.15","18,938.85",103.57M,0.73%
05-05-2024,"18,609.45","19,193.90","19,270.00","18,406.65",111.12M,-2.74%
12-05-2024,"18,981.60","18,680.10","19,039.65","18,638.60",139.46M,2.00%
19-05-2024,"19,119.50","19,057.45","19,422.20","18,994.30",149.69M,0.73%
26-05-2024,"18,796.30","19,258.15","19,415.00","18,732.35",177.21M,-1.69%
02-06-2024,"19,578.00","19,206.90","19,596.70","17,904.75",175.88M,4.16%
09-06-2024,"19,895.65","19,696.55","19,918.65","19,629.85",97.41M,1.62%
16-06-2024,"19,528.40","19,907.50","19,927.90","19,477.70",104.25M,-1.85%
23-06-2024,"19,731.55","19,511.85","19,797.90","19,414.90",121.47M,1.04%
30-06-2024,"20,453.85","19,794.85","20,516.10","19,660.95",144.53M,3.66%
07-07-2024,"20,612.65","20,493.20","20,804.25","20,283.00",96.89M,0.78%
14-07-2024,"20,425.40","20,705.80","20,960.30","20,398.45",72.67M,-0.91%
21-07-2024,"21,603.10","20,319.70","21,703.30","20,275.25",127.78M,5.77%
28-07-2024,"21,902.85","21,701.55","22,005.10","21,474.75",128.01M,1.39%
04-08-2024,"22,209.55","21,526.80","22,301.05","21,501.80",141.53M,1.40%
11-08-2024,"22,106.50","22,209.05","22,326.55","21,933.70",108.68M,-0.46%
18-08-2024,"22,527.85","22,200.90","22,661.00","22,124.70",90.91M,1.91%
25-08-2024,"23,217.60","22,520.65","23,275.50","22,437.15",156.95M,3.06%
