Date,Price,Open,High,Low,Vol.,Change %
04-06-2023,"18,563.40","18,612.00","18,777.90","18,531.60",1.25B,0.16%
11-06-2023,"18,826.00","18,595.05","18,864.70","18,559.75",1.21B,1.41%
25-06-2023,"19,189.05","18,682.35","19,201.70","18,646.70",1.04B,2.80%
02-07-2023,"19,331.80","19,246.50","19,523.60","19,234.40",1.18B,0.74%
09-07-2023,"19,564.50","19,400.35","19,595.35","19,327.10",1.45B,1.20%
16-07-2023,"19,745.00","19,612.15","19,991.85","19,562.95",1.40B,0.92%
23-07-2023,"19,646.05","19,748.45","19,867.55","19,563.10",1.47B,-0.50%
30-07-2023,"19,517.00","19,666.35","19,795.60","19,296.45",1.48B,-0.66%
06-08-2023,"19,428.30","19,576.85","19,645.50","19,412.75",1.29B,-0.45%
13-08-2023,"19,310.15","19,383.95","19,482.75","19,253.60",995.28M,-0.61%
20-08-2023,"19,265.80","19,320.65","19,584.45","19,229.70",1.43B,-0.23%
27-08-2023,"19,435.30","19,298.35","19,458.55","19,223.65",1.68B,0.88%
03-09-2023,"19,819.95","19,525.05","19,867.15","19,432.85",1.43B,1.98%
10-09-2023,"20,192.35","19,890.00","20,222.45","19,865.35",1.54B,1.88%
17-09-2023,"19,674.25","20,155.95","20,195.35","19,657.50",1.16B,-2.57%
24-09-2023,"19,638.30","19,678.20","19,766.65","19,492.10",1.19B,-0.18%
01-10-2023,"19,653.50","19,622.40","19,675.75","19,333.60",892.78M,0.08%
08-10-2023,"19,751.05","19,539.45","19,843.30","19,480.50",1.07B,0.50%
15-10-2023,"19,542.65","19,737.25","19,849.75","19,512.35",994.41M,-1.06%
22-10-2023,"19,047.25","19,521.60","19,556.85","18,837.85",906.89M,-2.53%
29-10-2023,"19,230.60","19,053.40","19,276.25","18,940.00",1.02B,0.96%
05-11-2023,"19,425.35","19,345.85","19,464.40","19,309.70",934.95M,1.01%
12-11-2023,"19,731.80","19,486.75","19,875.25","19,414.75",1.00B,1.58%
19-11-2023,"19,794.70","19,731.15","19,875.15","19,670.50",869.17M,0.32%
26-11-2023,"20,267.90","19,844.65","20,291.55","19,800.00",1.22B,2.39%
03-12-2023,"20,969.40","20,601.95","21,006.10","20,507.75",1.73B,3.46%
10-12-2023,"21,456.65","20,965.30","21,492.30","20,769.50",1.56B,2.32%
17-12-2023,"21,349.40","21,434.80","21,593.00","20,976.80",1.43B,-0.50%
24-12-2023,"21,731.40","21,365.20","21,801.45","21,329.45",1.14B,1.79%
31-12-2023,"21,710.80","21,727.75","21,834.35","21,500.35",1.38B,-0.09%
07-01-2024,"21,894.55","21,747.60","21,928.25","21,448.65",1.18B,0.85%
14-01-2024,"21,622.40","22,053.15","22,124.15","21,285.55",1.82B,-1.24%
21-01-2024,"21,352.60","21,716.70","21,750.25","21,137.20",1.28B,-1.25%
28-01-2024,"21,853.80","21,433.10","22,126.80","21,429.60",1.94B,2.35%
04-02-2024,"21,782.50","21,921.05","22,053.30","21,629.90",2.00B,-0.33%
18-02-2024,"22,212.70","22,103.45","22,297.50","21,875.25",1.23B,0.78%
25-02-2024,"22,338.75","22,169.20","22,353.30","21,860.65",1.37B,0.57%
03-03-2024,"22,493.55","22,403.50","22,525.65","22,224.35",1.29B,0.69%
10-03-2024,"22,023.35","22,517.50","22,526.60","21,905.65",2.16B,-2.09%
17-03-2024,"22,096.75","21,990.10","22,180.70","21,710.20",1.75B,0.33%
24-03-2024,"22,326.90","21,947.90","22,516.00","21,947.55",1.15B,1.04%
31-03-2024,"22,513.70","22,455.00","22,619.00","22,303.80",1.49B,0.84%
07-04-2024,"22,519.40","22,578.35","22,775.70","22,503.75",1.09B,0.03%
14-04-2024,"22,147.00","22,339.05","22,427.45","21,777.65",1.49B,-1.65%
21-04-2024,"22,419.95","22,336.90","22,625.95","22,198.15",1.55B,1.23%
28-04-2024,"22,475.85","22,475.55","22,794.70","22,348.05",1.54B,0.25%
05-05-2024,"22,055.20","22,561.60","22,588.80","21,932.40",1.49B,-1.87%
12-05-2024,"22,466.10","22,027.95","22,502.15","21,821.05",1.35B,1.86%
19-05-2024,"22,957.10","22,404.55","23,026.40","22,404.55",1.27B,2.19%
26-05-2024,"22,530.70","23,038.95","23,110.80","22,417.00",1.69B,-1.86%
02-06-2024,"23,290.15","23,337.90","23,338.70","21,281.45",3.17B,3.37%
09-06-2024,"23,465.60","23,319.15","23,490.40","23,206.65",1.40B,0.75%
16-06-2024,"23,501.10","23,570.80","23,667.10","23,398.20",1.49B,0.15%
23-06-2024,"24,010.60","23,382.30","24,174.00","23,350.00",1.70B,2.17%
30-06-2024,"24,323.85","23,992.95","24,401.00","23,992.70",1.39B,1.30%
07-07-2024,"24,502.15","24,329.45","24,592.20","24,141.80",1.44B,0.73%
14-07-2024,"24,530.90","24,587.60","24,854.80","24,504.45",1.28B,0.12%
21-07-2024,"24,834.85","24,445.75","24,861.15","24,074.20",1.90B,1.24%
28-07-2024,"24,717.70","24,943.30","25,078.30","24,686.85",1.85B,-0.47%
04-08-2024,"24,367.50","24,302.85","24,419.75","23,893.70",1.64B,-1.42%
11-08-2024,"24,541.15","24,320.05","24,563.90","24,099.70",1.09B,0.71%
18-08-2024,"24,823.15","24,636.35","24,867.35","24,522.95",1.17B,1.15%
25-08-2024,"25,235.90","24,906.10","25,268.35","24,874.70",1.65B,1.66%
