Date,Price,Open,High,Low,Vol.,Change %
04-06-2023,"50,674.85","51,373.20","51,718.00","50,605.75",88.54M,-1.20%
11-06-2023,"52,440.20","50,792.10","52,540.50","50,553.25",130.14M,3.48%
25-06-2023,"52,194.75","51,415.95","52,239.05","51,346.90",79.36M,1.78%
02-07-2023,"52,942.45","52,299.00","53,971.25","52,061.10",121.76M,1.43%
09-07-2023,"53,453.70","53,071.35","53,567.65","52,484.50",95.44M,0.97%
16-07-2023,"53,697.45","53,536.35","54,349.85","53,078.55",122.24M,0.46%
23-07-2023,"52,964.05","53,843.95","53,882.25","52,002.75",204.15M,-1.37%
30-07-2023,"52,050.65","52,953.15","53,021.50","51,943.05",121.19M,-1.72%
06-08-2023,"51,351.70","51,973.05","52,257.65","51,265.50",118.17M,-1.34%
13-08-2023,"51,464.75","51,350.55","51,869.75","50,984.60",103.35M,0.22%
20-08-2023,"51,506.80","51,516.85","52,315.30","51,409.40",90.19M,0.08%
27-08-2023,"51,240.50","51,594.15","51,650.65","50,913.00",109.89M,-0.52%
03-09-2023,"51,778.30","51,415.10","52,136.25","50,932.55",106.13M,1.05%
10-09-2023,"51,895.15","51,948.70","52,454.75","51,768.90",127.94M,0.23%
17-09-2023,"51,608.50","51,983.50","52,243.15","51,332.15",76.22M,-0.55%
24-09-2023,"51,602.65","51,646.30","52,393.15","51,246.45",99.72M,-0.01%
01-10-2023,"51,577.90","51,603.65","51,725.40","51,128.50",88.96M,-0.05%
08-10-2023,"52,520.70","51,333.70","52,655.75","51,188.35",90.02M,1.83%
15-10-2023,"51,823.35","52,468.95","52,851.45","51,762.45",110.05M,-1.33%
22-10-2023,"51,395.00","51,771.70","51,956.50","50,607.00",98.86M,-0.83%
29-10-2023,"51,901.50","51,330.15","51,984.60","50,951.95",103.36M,0.99%
05-11-2023,"52,076.05","52,035.40","52,562.50","51,689.05",90.59M,0.34%
12-11-2023,"52,756.10","52,376.10","52,809.75","51,917.65",78.67M,1.31%
19-11-2023,"52,576.90","52,842.10","52,958.10","52,312.30",68.09M,-0.34%
26-11-2023,"53,851.45","52,670.20","53,917.50","52,402.40",117.62M,2.42%
03-12-2023,"53,636.35","54,313.60","54,872.90","53,568.60",137.96M,-0.40%
10-12-2023,"54,186.20","53,790.45","54,585.75","53,558.80",117.03M,1.03%
17-12-2023,"55,101.05","54,070.90","55,581.40","53,911.35",157.23M,1.69%
24-12-2023,"56,987.20","55,271.75","57,055.80","55,189.85",111.48M,3.42%
31-12-2023,"57,667.35","57,127.55","57,966.70","56,763.70",128.01M,1.19%
07-01-2024,"56,485.75","57,718.85","57,748.35","56,008.00",108.10M,-2.05%
14-01-2024,"56,640.50","56,795.40","56,872.50","55,206.70",118.64M,0.27%
21-01-2024,"55,214.10","56,632.80","56,650.35","54,816.10",105.35M,-2.52%
28-01-2024,"55,118.40","55,058.15","55,792.00","54,501.35",213.75M,-0.17%
04-02-2024,"53,867.10","55,340.40","55,387.90","53,317.25",190.48M,-2.27%
18-02-2024,"54,337.75","53,645.55","54,561.55","53,552.55",131.13M,1.53%
25-02-2024,"54,225.15","54,312.60","54,559.65","53,453.50",130.41M,-0.21%
03-03-2024,"54,406.30","54,433.05","54,588.55","53,171.75",102.33M,0.33%
10-03-2024,"54,155.45","54,570.85","54,962.50","53,280.20",333.23M,-0.46%
17-03-2024,"53,775.70","54,144.30","54,189.10","52,562.60",182.90M,-0.70%
24-03-2024,"53,949.20","53,325.40","54,251.00","53,325.10",103.25M,0.32%
31-03-2024,"53,925.95","54,078.20","54,369.10","53,502.90",148.56M,-0.04%
07-04-2024,"53,701.40","54,100.25","54,370.50","53,552.65",116.23M,-0.42%
14-04-2024,"53,055.45","53,299.05","53,571.75","52,398.75",131.20M,-1.20%
21-04-2024,"54,300.75","53,318.90","54,601.60","53,128.20",158.76M,2.35%
28-04-2024,"54,273.90","54,527.15","54,757.35","53,913.30",147.56M,-0.05%
05-05-2024,"55,276.50","54,544.15","56,222.75","54,149.50",240.95M,1.85%
12-05-2024,"55,064.70","55,386.95","55,525.90","54,159.35",140.46M,-0.38%
19-05-2024,"55,449.15","55,212.10","56,062.00","54,764.55",123.39M,0.70%
26-05-2024,"54,107.35","55,649.60","55,708.70","53,897.70",181.68M,-2.42%
02-06-2024,"57,953.35","55,139.00","58,832.65","53,057.65",339.39M,7.11%
09-06-2024,"57,225.85","58,038.15","58,266.05","57,051.45",173.09M,-1.26%
16-06-2024,"55,990.10","57,370.85","57,490.65","55,906.65",142.31M,-2.16%
23-06-2024,"56,756.85","55,958.10","57,007.45","55,837.40",166.37M,1.37%
30-06-2024,"57,673.00","56,745.50","57,737.75","56,473.95",123.33M,1.61%
07-07-2024,"59,725.75","57,888.45","59,885.40","57,748.95",196.04M,3.56%
14-07-2024,"61,087.90","59,805.15","61,491.40","59,603.20",148.25M,2.28%
21-07-2024,"62,728.80","60,968.25","62,928.60","60,743.70",265.39M,2.69%
28-07-2024,"61,745.15","63,016.45","63,084.30","61,632.85",177.36M,-1.57%
04-08-2024,"62,157.35","60,877.25","62,545.60","60,818.80",176.68M,0.67%
11-08-2024,"62,213.00","61,840.25","62,303.45","61,092.25",107.29M,0.09%
18-08-2024,"63,409.25","62,433.25","63,700.75","61,996.60",126.12M,1.92%
25-08-2024,"63,059.75","63,480.00","63,805.95","62,563.55",158.62M,-0.55%
