Date,Price,Open,High,Low,Vol.,Change %
04-06-2023,"1,763.50","1,796.25","1,817.70","1,761.15",,-1.18%
11-06-2023,"1,806.20","1,774.75","1,836.45","1,761.90",,2.42%
25-06-2023,"1,743.80","1,741.80","1,764.10","1,727.70",,0.17%
02-07-2023,"1,895.55","1,751.20","1,908.85","1,742.15",,8.70%
09-07-2023,"1,927.40","1,907.05","1,932.55","1,843.95",,1.68%
16-07-2023,"1,984.15","1,928.35","2,007.45","1,926.35",,2.94%
23-07-2023,"2,052.55","1,996.50","2,060.90","1,958.00",,3.45%
30-07-2023,"2,047.40","2,060.65","2,080.75","2,007.95",,-0.25%
06-08-2023,"2,200.10","2,055.40","2,269.40","2,038.10",,7.46%
13-08-2023,"2,251.55","2,216.30","2,258.55","2,167.80",,2.34%
20-08-2023,"2,265.85","2,264.10","2,306.60","2,235.75",,0.64%
27-08-2023,"2,296.10","2,274.25","2,336.10","2,269.60",,1.34%
03-09-2023,"2,414.60","2,313.40","2,465.95","2,296.10",,5.16%
10-09-2023,"2,326.85","2,430.85","2,432.40","2,289.10",,-3.63%
17-09-2023,"2,292.05","2,330.10","2,330.95","2,269.20",,-1.50%
24-09-2023,"2,268.20","2,290.30","2,303.60","2,219.60",,-1.04%
01-10-2023,"2,286.75","2,269.75","2,304.35","2,237.85",,0.82%
08-10-2023,"2,319.85","2,265.00","2,359.55","2,225.30",,1.45%
15-10-2023,"2,304.10","2,326.80","2,343.20","2,298.35",,-0.68%
22-10-2023,"2,180.50","2,307.20","2,308.80","2,092.25",,-5.36%
29-10-2023,"2,266.75","2,185.05","2,277.40","2,153.45",,3.96%
05-11-2023,"2,232.45","2,276.90","2,298.40","2,216.90",,-1.51%
12-11-2023,"2,275.90","2,244.05","2,299.05","2,225.60",,1.95%
19-11-2023,"2,283.45","2,282.40","2,310.10","2,258.25",,0.33%
26-11-2023,"2,355.65","2,291.45","2,375.50","2,266.65",,3.16%
03-12-2023,"2,396.00","2,376.80","2,443.25","2,286.90",,1.71%
10-12-2023,"2,437.05","2,412.65","2,484.50","2,381.05",,1.71%
17-12-2023,"2,390.50","2,425.95","2,493.40","2,306.20",,-1.91%
24-12-2023,"2,388.15","2,407.20","2,417.85","2,350.45",,-0.10%
31-12-2023,"2,468.00","2,400.25","2,499.45","2,392.95",,3.34%
07-01-2024,"2,446.05","2,486.30","2,508.60","2,361.45",,-0.89%
14-01-2024,"2,369.90","2,467.60","2,472.20","2,309.25",,-3.11%
21-01-2024,"2,134.60","2,393.85","2,428.15","2,057.55",,-9.93%
28-01-2024,"2,129.05","2,157.70","2,201.15","2,118.95",,-0.26%
04-02-2024,"2,191.80","2,146.40","2,212.80","2,117.85",,2.95%
18-02-2024,"2,164.30","2,177.30","2,264.85","2,092.10",,-0.02%
25-02-2024,"2,019.90","2,180.75","2,186.75","2,011.65",,-6.67%
03-03-2024,"1,988.35","2,040.75","2,067.80","1,907.50",,-1.56%
10-03-2024,"1,822.50","1,997.40","2,001.80","1,767.30",,-8.34%
17-03-2024,"1,849.80","1,827.25","1,858.80","1,768.70",,1.50%
24-03-2024,"1,795.85","1,855.20","1,860.60","1,790.85",,-2.92%
31-03-2024,"1,916.25","1,816.60","1,947.75","1,812.85",,6.70%
07-04-2024,"1,888.25","1,931.60","1,936.70","1,869.45",,-1.46%
14-04-2024,"1,870.35","1,862.35","1,911.40","1,822.05",,-0.95%
21-04-2024,"1,910.95","1,887.20","1,927.10","1,870.05",,2.17%
28-04-2024,"1,851.10","1,921.00","1,937.95","1,833.65",,-3.13%
05-05-2024,"1,772.40","1,864.05","1,865.05","1,748.65",,-4.25%
12-05-2024,"1,811.80","1,779.45","1,815.30","1,742.95",,2.22%
19-05-2024,"1,897.00","1,832.20","1,906.15","1,820.35",,4.70%
26-05-2024,"1,870.40","1,901.35","1,918.50","1,851.85",,-1.40%
02-06-2024,"1,970.65","1,948.85","1,978.10","1,717.40",,5.36%
09-06-2024,"2,057.85","1,980.95","2,093.30","1,964.45",,4.42%
16-06-2024,"2,039.65","2,067.80","2,071.10","2,002.25",,-0.88%
23-06-2024,"1,992.35","2,035.90","2,044.40","1,986.25",,-2.32%
30-06-2024,"2,047.55","1,999.05","2,078.15","1,998.05",,2.77%
07-07-2024,"2,074.15","2,051.35","2,091.10","1,983.30",,1.30%
14-07-2024,"1,962.95","2,084.75","2,124.15","1,958.25",,-5.36%
21-07-2024,"2,075.65","1,936.75","2,093.65","1,887.45",,5.74%
28-07-2024,"2,100.30","2,083.05","2,169.25","2,082.20",,1.19%
04-08-2024,"2,101.65","2,061.60","2,109.60","1,993.70",,0.06%
11-08-2024,"2,059.65","2,090.90","2,097.70","2,012.15",,-2.00%
18-08-2024,"2,068.95","2,078.65","2,117.85","2,064.75",,0.45%
25-08-2024,"2,104.50","2,087.60","2,174.55","2,060.05",,1.72%
