Date,Price,Open,High,Low,Vol.,Change %
04-06-2023,"10,164.25","10,102.80","10,277.85","10,063.95",,1.20%
11-06-2023,"10,450.10","10,205.20","10,478.00","10,175.10",,2.81%
25-06-2023,"10,544.20","10,357.75","10,559.35","10,330.70",,1.92%
02-07-2023,"10,777.35","10,604.45","10,847.70","10,604.00",,2.21%
09-07-2023,"10,962.95","10,820.00","10,977.55","10,728.90",,1.72%
16-07-2023,"11,110.55","11,021.25","11,126.20","10,926.30",,1.35%
23-07-2023,"11,239.10","11,158.80","11,259.55","11,126.15",,1.16%
30-07-2023,"11,317.75","11,297.05","11,420.50","11,137.30",,0.70%
06-08-2023,"11,376.50","11,395.50","11,487.35","11,300.30",,0.52%
13-08-2023,"11,338.05","11,369.95","11,426.70","11,176.10",,-0.34%
20-08-2023,"11,548.90","11,392.75","11,682.55","11,375.30",,1.86%
27-08-2023,"12,017.15","11,612.50","12,031.65","11,590.00",,4.05%
03-09-2023,"12,367.00","12,100.95","12,389.90","12,017.15",,2.91%
10-09-2023,"12,301.65","12,465.75","12,573.30","11,870.40",,-0.53%
17-09-2023,"12,038.45","12,344.80","12,352.20","11,946.20",,-2.14%
24-09-2023,"12,230.40","12,077.75","12,283.75","12,023.60",,1.59%
01-10-2023,"12,316.75","12,259.00","12,329.45","12,104.80",,0.71%
08-10-2023,"12,407.45","12,183.05","12,469.70","12,077.40",,0.74%
15-10-2023,"12,400.30","12,441.00","12,590.45","12,380.30",,-0.06%
22-10-2023,"12,024.90","12,442.40","12,456.10","11,493.75",,-3.03%
29-10-2023,"12,253.60","12,068.30","12,273.45","11,937.15",,1.90%
05-11-2023,"12,547.05","12,354.35","12,581.20","12,333.80",,2.39%
12-11-2023,"12,976.90","12,684.55","13,023.70","12,631.40",,3.43%
19-11-2023,"12,984.95","13,024.35","13,079.55","12,853.90",,0.06%
26-11-2023,"13,326.60","13,059.85","13,381.20","13,001.40",,2.63%
03-12-2023,"13,470.80","13,559.40","13,653.30","13,396.55",,1.08%
10-12-2023,"13,820.45","13,530.75","13,852.95","13,493.15",,2.60%
17-12-2023,"13,792.00","13,869.60","14,003.15","13,176.20",,-0.21%
24-12-2023,"14,041.30","13,848.60","14,059.05","13,790.15",,1.81%
31-12-2023,"14,382.40","14,081.90","14,402.60","13,960.30",,2.43%
07-01-2024,"14,552.75","14,445.30","14,601.30","14,285.90",,1.18%
14-01-2024,"14,548.55","14,645.25","14,676.05","14,042.70",,-0.03%
21-01-2024,"14,543.80","14,622.25","14,739.90","14,073.15",,-0.03%
28-01-2024,"15,175.90","14,634.95","15,277.65","14,632.55",,4.35%
04-02-2024,"15,128.35","15,256.20","15,489.50","14,902.30",,-0.31%
18-02-2024,"15,169.50","15,188.70","15,256.85","14,849.00",,0.47%
25-02-2024,"15,061.35","15,213.20","15,249.65","14,691.45",,-0.71%
03-03-2024,"14,803.20","15,119.80","15,235.05","14,521.25",,-1.71%
10-03-2024,"13,922.35","14,863.45","14,873.00","13,284.30",,-5.95%
17-03-2024,"14,161.40","13,931.05","14,192.65","13,558.70",,1.72%
24-03-2024,"14,330.50","14,166.80","14,407.40","14,045.10",,1.19%
31-03-2024,"15,248.20","14,458.45","15,268.55","14,456.55",,6.40%
07-04-2024,"15,322.15","15,354.60","15,455.70","15,215.25",,0.48%
14-04-2024,"15,162.20","15,006.15","15,369.90","14,792.10",,-1.04%
21-04-2024,"15,814.50","15,282.50","15,876.90","15,254.00",,4.30%
28-04-2024,"15,793.30","15,918.75","15,944.70","15,684.45",,-0.13%
05-05-2024,"15,104.90","15,893.60","15,901.35","14,825.10",,-4.36%
12-05-2024,"15,792.90","15,130.85","15,804.10","14,780.40",,4.55%
19-05-2024,"15,865.65","15,868.30","15,978.05","15,705.95",,0.46%
26-05-2024,"15,626.65","15,951.20","16,002.25","15,461.20",,-1.51%
02-06-2024,"16,100.00","16,232.05","16,235.05","14,145.25",,3.03%
09-06-2024,"16,845.55","16,244.45","16,874.85","16,190.95",,4.63%
16-06-2024,"17,046.55","16,966.05","17,168.75","16,784.55",,1.19%
23-06-2024,"17,111.05","17,003.35","17,219.05","16,882.75",,0.38%
30-06-2024,"17,712.30","17,190.65","17,749.10","17,176.05",,3.51%
07-07-2024,"17,679.20","17,806.20","17,855.05","17,249.35",,-0.19%
14-07-2024,"17,163.40","17,766.65","17,885.75","17,140.90",,-2.92%
21-07-2024,"17,647.40","17,029.55","17,676.15","16,520.50",,2.82%
28-07-2024,"17,677.65","17,790.90","18,049.80","17,551.25",,0.17%
04-08-2024,"17,335.90","17,193.70","17,432.40","16,839.10",,-1.93%
11-08-2024,"17,371.40","17,308.70","17,490.65","16,969.65",,0.20%
18-08-2024,"18,006.55","17,497.70","18,096.05","17,484.50",,3.66%
25-08-2024,"18,170.25","18,129.00","18,316.25","18,005.90",,0.91%
