Date,Content
09-06-2023,"India equity markets end the week in green despite profit booking today.Indian equity markets witnessed selling pressure today. However, the weekly gains in the market were positive aided by a rise the first half of the week. RBI continued its pause on rate hike and decided to keep the repo rate unchanged at 6.50%. The week ended flat with Nifty 50 gaining 0.2%; underperforming Nifty Midcap 150 Index and Nifty Small Cap 250 Index which gained 0.9% and 1.2% respectively.Sectoral Indices were a mixed bag with Nifty Auto, Nifty Realty and Nifty Metal gaining the most i.e 1.6%, 1.5% and 1.4%, respectively. While Nifty IT, Nifty PSU Bank and Nifty FMCG fell the most, losing (-) 3.3%, (-) 1.4% and (-) 1.2%, respectively."
16-06-2023,"Banking Index reaches new highs as Indian markets rally on account of positive global sentiments.Indian markets rallied as global sentiments improved on the expectations that the Fed will be less hawkish in its rate cuts. Fed left policy rates unchanged on Thursday. Positive rally could be seen across all indices with the large cap index Nifty 50 gaining 1.4%. While Nifty Midcap 150 Index and Nifty Small Cap 250 Index soared gained 3.0% and 2.8% respectively.Sectorally, Banks and Pharma reported high one day gains, on a week-to-week basis Nifty Bank Index ended in red. All other sectoral Indices ended in green. Highest gainers, during the week were Nifty Realty, Nifty FMCG and Nifty Healthcare gaining 3.7%, 3.5% and 3.4%, respectively. While Nifty Banks lost (-) 0.1%, Nifty Financial Services and Nifty IT fell were at bottom, gaining 0.2% and 0.8% respectively."
30-06-2023,"Positive Global cues and resilience of the Indian economy, drives equity markets this week. Indian equity markets reached record highs today with Nifty 50 reaching, the strongest week in 11 months. Major factors that led to this rally were positive headwinds from US economy which especially boosted the IT sector, robust FII flows, good corporate results and positive macroeconomics fundamentals of the Indian economy. As a result, the broad-based benchmark Nifty 50 gained almost 2.8% outperforming both the Nifty Midcap 150 Index and Nifty Small cap 250 Index which gained 2.5% and 1.9%, respectively. Almost all sectoral indices were positive this week. Nifty Pharma, Nifty Auto and Nifty IT were the top gainers rising by 4.4%, 4.1% and 3.5% respectively. The sectoral indices which registered least gains were Nifty Media, Nifty Oil and gas and Nifty Consumer Durables gaining 0.2%, 1.4% and 1.8% respectively."
07-07-2023,"Indian equity markets logged weekly gains despite weak global cues.Indian equity markets fell after reaching record highs in the first half of the day over concerns of monetary tightening by US Federal Reserve. However, on weekly basis, Indian indices logged gains. The broad-based Nifty 50 Index gained 0.74% during the week, outperforming the Nifty Midcap 150 Index which gained 0.64% and underperforming the Nifty Small Cap 250 Index which grew by 2.21%.Except for Nifty IT, all sectoral indices were positive this week. Nifty Media, Nifty PSU Banks and Nifty Oil and Gas were the top gainers, gaining 8.7%, 8.5% and 4.3% respectively. Nifty IT, Nifty Pharma and Nifty Financial Service Index were at the bottom. The Nifty IT index lost (-) 0.01% while Nifty Pharma and Nifty Financial Services registered negligible gains of 0.01% and 0.1% respectively."
14-07-2023,"Indian equity markets logged weekly gains on strong global cues.Indian markets gained on Friday, on account of positive global sentiments led by the belief that US monetary tightening cycle was near its end. The broad-based Nifty 50 Index gained 1.20% during the week, underperforming the Nifty Midcap 150 Index which gained 1.24% and outperforming the Nifty Small Cap 250 Index which grew by 1.72%Sectoral indices were a mixed bag. Nifty Media, Nifty Metals and Nifty IT were the highest gainers, rising 1.7%, 3.0% and 4.7% respectively. While Nifty Consumer Durables, Nifty Bank and Nifty Financial Services were at the bottom, losing (-) 0.5%, (-) 0.24% and (-) 0.18% respectively."
21-07-2023,"Sell off in IT to drags Indian markets.Indian markets fell on Friday due to sell off in IT stocks on account of weakness in global markets. The broad-based Nifty 50 Index fell by (-) 0.4% during the week. While the Nifty Midcap 150 was flat gaining 0.02% and Nifty Small cap 250 Index was slightly positive gaining 0.6%.Sectoral indices were a mixed bag. Nifty IT, Nifty Consumer Durables and Nifty Metal fell the most, losing (-) 4.7%, (-) 1.5% and (-) 0.5% respectively. While Nifty Pharma, Nifty Bank and Nifty Healthcare Index gained the most i.e. 1.3%, 0.9% and 0.9% respectively."
28-07-2023,"Weak trends in US markets drag Indian markets.Indian markets closed almost flat with minor losses as US concerns over rate hikes were reignited this week. The broad-based Nifty 50 Index fell by (-) 0.5% during the week, underperforming Mid and Small caps which showed resistance by registering minor gains. The Nifty Midcap 150 was flat gained 1.5% and Nifty Small cap 250 Index gained 1.2%.Sectoral indices were a mixed bag. Sell off in IT and financial sector dragged Nifty IT and Nifty Bank indices today. During the week, Nifty FMCG, Nifty Bank and Nifty IT fell the most, losing (-) 1.4%, (-) 1.3% and (-) 1.3% respectively. While Nifty Realty, Nifty Pharma and Nifty Media gained the most i.e., 5.0%, 4.8% and 3.4% respectively."
04-08-2023,"Indian equity markets gained on Friday despite negative global sentiments.India’s service sector PMI climbed to a 13 year high, signaling increase in output sustained by strong demand and new business gains. This led to slight rise in the markets despite negative global cues. However, on a weekly basis the broad-based Nifty 50 Index fell by (-) 0.7%, underperforming the Nifty Midcap 150 Index and the Nifty Small Cap 250 Index which gained 0.74% and 0.70% respectively.Sectoral indices were a mixed bag with Nifty IT, Nifty Pharma and Nifty Consumer Durables ending the week in green by gaining 3.2%, 1.9% and 1.0% respectively. Rest all indices ended the week in red. Nifty Realty, Nifty PSU Bank and Nifty FMCG were at the bottom losing (-) 4.2%, (-) 4.1% and 1.7% respectively."
11-08-2023,"Indian equity markets down post RBI’s monetary policyThe RBI, in its monetary policy, decided to keep the rates unchanged at 6.5%. However the RBI decided to incrementally increase the CRR is an intend to absorb the surplus liquidity in the system. This triggered self-off dragging Nifty 50 Index by (-) 0.45%. The mid and small caps were resilient during the week with the Nifty Midcap 150 Index and the Nifty Small cap 250 Index registered gain of 0.8% and 0.5% respectively.Sectoral indices were a mixed bag with Nifty Media, Nifty Consumer Durables and Nifty IT gaining the most i.e., 7.5%, 1.4% and 1.3% respectively. While Nifty Banks, Nifty Realty and Nifty Financial Services fell the most losing (-) 1.5%, (-) 1.5% and (-) 1.4% respectively."
18-08-2023,"Indian equity markets down due to weak global cues and high CPI inflationMarket sentiments were negative due to both domestic and global cues. CPI inflation rose sharply at 7.44% in July against 4.87% last month, breaching the RBI’s inflation band of 2% to 6%. Globally, there were concerns over higher inflation rates in US and slowing of Chinese economy, which dampened investor sentiments. As a result, the broad-based Nifty 50 index fell by (-) 0.6%. The Midcaps were flat while small caps were marginally down but tad better than large caps as the representative indices Nifty Midcap 150 gained 0.02% and the Nifty Small cap 250 Index fell by (-) 0.3% during the week.Sectoral indices were a mixed bag with Nifty Media, Nifty PSU Banks and Nifty Consumer gaining the most i.e., 2.3%, 1.1% and 0.5% respectively. While Nifty Metals, Nifty Financial Services and Nifty Oil and Gas fell the most losing (-) 2.9%, (-) 1.2% and (-) 0.9% respectively."
